Grade,Gender
6,Women
5,Women
5,Women
3,Women
6,Women
7,Women
6,Women
5,Women
6,Women
6,Women
5,Women
5,Women
5,Women
5,Women
3,Women
7,Women
6,Men
5,Men
5,Men
2,Men
2,Men
2,Men
2,Men
8,Men
6,Men
2,Women
8,Women
8,Men
8,Men
7,Men
6,Women
3,Women
6,Men
6,Women
2,Women
5,Women
2,Women
2,Women
2,Women
2,Women
1,Women
4,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
2,Women
5,Women
5,Women
5,Women
4,Women
4,Women
4,Women
4,Women
4,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
5,Women
2,Women
2,Women
3,Women
3,Women
3,Women
3,Women
2,Women
2,Women
6,Women
5,Women
5,Women
2,Women
6,Women
6,Women
6,Women
5,Women
4,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
5,Women
3,Women
3,Women
3,Women
2,Women
2,Women
3,Women
3,Women
3,Women
2,Women
4,Women
4,Women
3,Women
3,Women
3,Women
3,Women
5,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
1,Women
1,Women
4,Women
4,Women
3,Women
3,Women
3,Women
3,Women
2,Women
4,Women
4,Women
4,Women
6,Women
6,Women
5,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
1,Women
1,Women
1,Women
1,Women
1,Women
1,Women
4,Women
4,Women
4,Women
4,Women
4,Women
4,Women
4,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
4,Women
4,Women
4,Women
2,Women
6,Women
5,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
1,Women
6,Women
6,Women
6,Women
5,Women
5,Women
5,Women
5,Women
5,Women
5,Women
5,Women
5,Women
5,Women
4,Women
4,Women
4,Women
4,Women
4,Women
4,Women
4,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
3,Women
4,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
2,Women
5,Women
3,Women
3,Women
3,Women
3,Women
2,Women
2,Women
4,Women
4,Women
4,Women
3,Women
3,Women
3,Women
3,Women
2,Women
2,Women
2,Women
2,Women
6,Women
3,Women
6,Men
4,Men
5,Men
2,Men
2,Men
3,Men
7,Men
3,Men
5,Men
4,Men
8,Men
2,Men
2,Men
2,Men
2,Men
2,Men
3,Men
3,Men
4,Men
4,Men
3,Men
3,Men
3,Men
2,Men
2,Men
5,Men
5,Men
4,Men
4,Men
4,Men
3,Men
3,Men
3,Men
3,Men
2,Men
2,Men
6,Men
6,Men
5,Men
4,Men
5,Men
5,Men
2,Men
2,Men
2,Men
2,Men
1,Men
1,Men
3,Men
3,Men
3,Men
2,Men
5,Men
7,Men
6,Men
2,Men
2,Men
2,Men
2,Men
2,Men
2,Men
2,Men
2,Men
2,Men
2,Men
2,Men
7,Men
7,Men
6,Men
6,Men
6,Men
6,Men
6,Men
6,Men
5,Men
5,Men
5,Men
5,Men
4,Men
4,Men
4,Men
4,Men
3,Men
3,Men
3,Men
3,Men
3,Men
3,Men
3,Men
3,Men
5,Men
5,Men
2,Men
2,Men
4,Men
3,Men
3,Men
3,Men
3,Men
2,Men
2,Men
5,Men
5,Men
4,Men
4,Men
3,Men
3,Men
3,Men
3,Men
5,Men
5,Men
4,Men
3,Men
3,Men
3,Men
3,Men
6,Men
